id;date_debut;date_fin;libelle
1;2019-09-16T10:15:14;2019-09-16T05:19:51;bluetooth Berkshire
2;2019-09-16T19:32:35;2019-09-16T07:36:30;pixel Pennsylvania
3;2019-09-16T07:33:08;2019-09-16T11:16:10;Cotton encompassing
4;2019-09-16T12:54:55;2019-09-16T00:02:16;Home Loan Account Grass-roots
5;2019-09-16T09:40:16;2019-09-15T21:57:11;Personal Loan Account
6;2019-09-16T15:56:08;2019-09-16T21:26:54;Decentralized
7;2019-09-16T12:51:38;2019-09-16T15:43:34;Pizza blue
8;2019-09-16T14:47:13;2019-09-16T02:17:19;Unbranded Fresh Car
9;2019-09-16T20:23:23;2019-09-16T09:02:27;infomediaries
10;2019-09-15T22:03:08;2019-09-15T21:41:43;Regional
