id;nom;description;prix;disponibilite
1;Granite Configuration Buckinghamshire;Practical Steel Chips;62080;false
2;concept payment;robust;53726;false
3;Rubber Shirt;Pakistan Rupee;18006;false
4;best-of-breed Human Mission;Officer Savings Account Automated;82179;false
5;even-keeled Chair;Brazil;53442;false
6;cyan innovative;open architecture alliance;9229;true
7;Credit Card Account Sleek;Sausages streamline Home;86830;true
8;quantify;Manager;53659;false
9;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;13311;true
10;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);ADP;35414;true
