id;nom;description;prix;disponibilite
1;parsing;models New Mexico District;8274;true
2;EXE Rustic Steel Shirt drive;Ways Liaison engage;74957;false
3;Assistant generating;Practical Steel Shirt Plastic Movies;7535;true
4;haptic Producer Agent;Rhode Island capacitor;75708;true
5;Ergonomic Falls;User-friendly;27473;true
6;Synergized;calculate Fantastic Concrete Computer Baby;49816;true
7;transmit Gabon;connecting Planner Refined;79181;false
8;Granite Grocery;bluetooth payment digital;90315;false
9;Industrial seamless;withdrawal Jamaica;9100;true
10;real-time Berkshire solid state;middleware Switzerland;69764;true
